Name, Longitude, Latitude, M_plot
358,-0.8589323,51.1555229,0
359,-0.8590045,51.1554966,0
360,-0.8590909,51.1554705,0
361,-0.8591771,51.1554533,0
362,-0.8592636,51.1554272,0
363,-0.8593500,51.1554010,1
364,-0.8594226,51.1553568,0
365,-0.8594952,51.1553125,0
366,-0.8595821,51.1552684,0
367,-0.8596547,51.1552242,0
368,-0.8597272,51.1551799,0
369,-0.8597996,51.1551446,0
370,-0.8598865,51.1551005,0
371,-0.8599591,51.1550563,0
372,-0.8600317,51.1550120,0
373,-0.8601042,51.1549678,0
374,-0.8601911,51.1549236,0
375,-0.8602637,51.1548794,0
376,-0.8603363,51.1548351,0
377,-0.8604089,51.1547909,0
378,-0.8604958,51.1547468,0
379,-0.8605681,51.1547115,0
380,-0.8606407,51.1546672,0
381,-0.8607133,51.1546230,0
382,-0.8608002,51.1545789,0
383,-0.8608728,51.1545346,0
384,-0.8609453,51.1544904,1
385,-0.8610304,51.1545182,0
386,-0.8611156,51.1545460,0
387,-0.8612007,51.1545738,0
388,-0.8612856,51.1546106,0
389,-0.8613707,51.1546384,0
390,-0.8614558,51.1546662,0
391,-0.8615409,51.1546940,0
392,-0.8616260,51.1547218,0
393,-0.8617111,51.1547496,0
394,-0.8617819,51.1547773,0
395,-0.8618668,51.1548141,0
396,-0.8619519,51.1548419,0
397,-0.8620370,51.1548697,0
398,-0.8621221,51.1548975,0
399,-0.8622072,51.1549253,0
400,-0.8622924,51.1549531,0
401,-0.8623772,51.1549899,0
402,-0.8624624,51.1550177,0
403,-0.8625475,51.1550455,0
404,-0.8626326,51.1550733,1
405,-0.8626489,51.1549925,0
406,-0.8626511,51.1549026,0
407,-0.8626674,51.1548219,0
408,-0.8626696,51.1547320,0
409,-0.8626859,51.1546512,0
410,-0.8627021,51.1545704,0
411,-0.8627043,51.1544805,0
412,-0.8627206,51.1543997,0
413,-0.8627369,51.1543190,0
414,-0.8627391,51.1542291,0
415,-0.8627554,51.1541483,0
416,-0.8627576,51.1540584,0
417,-0.8627739,51.1539776,0
418,-0.8627902,51.1538968,0
419,-0.8627924,51.1538069,0
420,-0.8628087,51.1537262,1
421,-0.8628938,51.1537540,0
422,-0.8629787,51.1537908,0
423,-0.8630495,51.1538184,0
424,-0.8631344,51.1538552,0
425,-0.8632195,51.1538830,0
426,-0.8633046,51.1539108,0
427,-0.8633895,51.1539476,0
428,-0.8634603,51.1539753,0
429,-0.8635452,51.1540121,0
430,-0.8636303,51.1540399,0
431,-0.8637154,51.1540677,0
432,-0.8638003,51.1541045,0
433,-0.8638711,51.1541321,0
434,-0.8639560,51.1541689,0
435,-0.8640411,51.1541967,1
